UserID,Age,Gender,Height_cm,Weight_kg,Chest_cm,Waist_cm,Hip_cm,ShoulderWidth_cm,ArmLength_cm,LegLength_cm,PostureScore,ActivityLevel,StylePreference,ColorPreference,FitScore,SatisfactionScore,RecommendedSize,RecommendedStyle
84,26,Male,160,48,107,85,83,49,73,71,0.6719761379270511,High,Sporty,Blue,0.9639437342689433,0.5739504229932586,L,Sporty
85,41,Other,150,72,118,70,129,37,52,90,0.24068158972588538,Medium,Formal,Black,0.15567521276423768,0.8534806665264896,L,Formal
86,18,Other,173,103,70,67,97,59,54,105,0.7436025175606177,Low,Sporty,Green,0.22737995419434576,0.39815494458477496,XXL,Sporty
87,25,Other,156,71,94,103,84,54,51,108,0.7502718294717717,Medium,Sporty,Black,0.22569467439043023,0.3023836061124269,XXL,Sporty
88,41,Other,174,113,120,99,99,39,63,108,0.3172889837759053,High,Sporty,White,0.02093202949207351,0.7957066850948376,S,Sporty
89,28,Female,170,69,105,102,102,57,51,98,0.4837138323907132,Medium,Formal,Blue,0.6041156249809495,0.3357865835028362,XXL,Formal
90,34,Male,164,47,86,81,90,39,62,95,0.29460333294045604,Medium,Sporty,Red,0.6707030741458938,0.0031742981845032103,XXL,Sporty
91,25,Other,150,112,110,79,116,54,56,90,0.2587050703242867,Low,Casual,Black,0.6025258901252534,0.9595725876290657,XS,Casual
92,52,Female,161,69,93,67,101,49,59,86,0.025896070249485148,High,Sporty,Blue,0.07132298941281434,0.5921232363510185,S,Sporty
93,52,Male,156,64,71,88,137,52,62,85,0.2852117446533321,Medium,Casual,Red,0.0692301257456317,0.8195179187100712,XS,Casual
94,50,Male,164,78,109,99,83,49,65,100,0.5539699498782749,Low,Traditional,Black,0.21038655449412402,0.8253015623427146,M,Traditional
95,22,Male,170,70,84,85,108,36,75,78,0.0016011875490288263,Medium,Traditional,Blue,0.2902945156989146,0.06641042037273281,M,Traditional
96,59,Male,168,49,101,89,123,47,63,100,0.2832190838096674,Low,Formal,Green,0.7865436559100474,0.1708601993864648,S,Formal
97,56,Other,178,105,108,76,113,38,60,83,0.8814103323232501,Low,Formal,Black,0.15939026574892112,0.3111206807596474,S,Formal
98,58,Other,174,53,128,79,92,44,59,106,0.5936485851073608,Medium,Traditional,Blue,0.044092216397532136,0.32069928504132283,XXL,Traditional
99,45,Female,182,94,75,111,121,47,55,71,0.6078628240809805,High,Sporty,Red,0.39398750771305513,0.6587861176809129,M,Sporty
100,24,Female,198,50,70,114,88,44,53,83,0.40336430502635323,High,Sporty,Blue,0.4163921701419203,0.6231329207526848,XL,Sporty
101,26,Female,181,104,116,75,121,43,70,102,0.676472143492411,Low,Sporty,Green,0.45090733818895423,0.49458977800981374,L,Sporty
102,25,Male,198,88,92,105,110,42,50,104,0.18993276623035915,High,Traditional,Black,0.8269035440269685,0.21126373230876794,XXL,Traditional
103,29,Male,184,55,127,102,86,37,56,108,0.8187468103841916,Low,Casual,Black,0.09800541487094172,0.3819834696903034,L,Casual
104,51,Other,193,110,108,66,83,50,73,89,0.11668911993589981,High,Formal,Black,0.7039420824219621,0.5435939684651695,M,Formal
105,50,Male,187,91,126,75,98,48,58,71,0.6560013546531093,Medium,Casual,Green,0.33794557104529077,0.4679853661039419,L,Casual
106,40,Male,175,117,86,104,121,43,57,88,0.34114932581968305,High,Traditional,Red,0.30998013643546996,0.12729253309507838,XL,Traditional
107,41,Male,160,47,103,118,109,55,54,106,0.7475129705824768,Low,Casual,Black,0.9325431260859799,0.6495104935019238,XL,Casual
108,54,Female,184,74,128,106,110,45,68,87,0.54976455126602,Low,Sporty,Red,0.24846852441674205,0.07305177681066055,XS,Sporty
109,52,Female,157,65,110,115,114,37,59,85,0.4523530384787162,High,Sporty,Blue,0.6425318353393663,0.3781946830810803,S,Sporty
110,57,Other,195,72,98,107,136,39,60,73,0.169422402093247,Medium,Casual,Red,0.2751277573760921,0.7100293476752291,L,Casual
111,39,Male,163,106,78,86,100,44,74,81,0.6368214642843528,Low,Traditional,Red,0.5071438826403851,0.02002353451970651,XL,Traditional
112,44,Male,159,77,82,112,110,47,64,98,0.9747698434204131,Low,Casual,Black,0.7862928925962779,0.5699828190453161,S,Casual
113,52,Other,151,79,75,82,98,38,55,76,0.825603424907015,Low,Sporty,White,0.8817225235162606,0.3345209741432973,S,Sporty
114,18,Male,195,96,75,83,110,58,64,83,0.0600081925890118,Low,Sporty,White,0.8386972402950503,0.008831843422734464,XS,Sporty
115,52,Male,158,78,89,68,132,47,54,81,0.3762293783611911,Low,Traditional,Green,0.5821807361446398,0.19038327106097186,S,Traditional
116,54,Female,152,85,121,94,111,46,78,104,0.9255830091902718,Medium,Casual,Green,0.24881631533822213,0.9409461932706544,S,Casual
117,31,Other,170,95,122,110,81,39,68,74,0.5030437475570214,High,Sporty,White,0.6612333832618658,0.5211489055050904,XXL,Sporty
118,20,Other,175,91,72,79,138,44,71,86,0.6621118258081792,Medium,Sporty,Blue,0.709905045779608,0.9972272046291317,M,Sporty
119,18,Other,157,102,86,96,131,58,68,101,0.9125993455913904,Medium,Casual,Black,0.010691990113501415,0.5248167503647412,XS,Casual
120,22,Other,197,119,118,101,89,43,59,79,0.8737946904198807,Low,Casual,Black,0.4392105109318746,0.5439364122902682,XS,Casual
121,43,Female,151,101,81,76,81,54,61,86,0.501820375540511,Medium,Formal,Blue,0.8432620428217643,0.3918430129328524,L,Formal
122,31,Female,155,67,117,106,81,41,71,74,0.43764630265760207,Low,Traditional,Blue,0.4895875962430474,0.3100404187314143,S,Traditional
123,56,Male,177,92,116,90,139,36,53,78,0.3396926184795871,Medium,Traditional,White,0.31137544216332114,0.2515455531329448,L,Traditional
124,44,Male,178,66,114,114,103,56,67,102,0.7190194431628911,Low,Casual,Green,0.8717977710246627,0.3434206161306739,XXL,Casual
125,26,Male,175,61,124,116,96,58,65,105,0.28698679947154326,Low,Traditional,Blue,0.1558806975298057,0.45985108090043214,XL,Traditional
126,32,Male,174,113,70,67,111,57,57,105,0.24988760643090013,Medium,Sporty,Green,0.20644523241620039,0.19199195023079008,S,Sporty
127,32,Female,161,55,86,74,95,41,53,87,0.3562498946037801,Medium,Casual,Red,0.6873723669361333,0.22487509180569587,XL,Casual
128,43,Other,154,59,72,90,95,42,74,78,0.17721505687879202,High,Casual,Black,0.352435941526575,0.27154476866843913,M,Casual
129,59,Female,183,79,95,112,125,41,72,98,0.6951198159457673,High,Casual,White,0.7130168357337789,0.44925989193083915,XXL,Casual
130,30,Male,197,77,84,89,118,55,61,83,0.6162406493306123,High,Formal,Black,0.1577036212594919,0.6528133668142431,S,Formal
131,49,Female,186,60,105,105,132,57,51,94,0.4828785341158436,Medium,Traditional,White,0.25226908960084593,0.8561461502862873,L,Traditional
132,56,Other,164,78,101,79,110,48,53,84,0.39032577926155465,Medium,Formal,Red,0.15664737836363352,0.2871318371871433,L,Formal
133,49,Other,193,110,101,119,122,53,54,75,0.9090625428967315,Low,Sporty,Black,0.9529103135635096,0.18372834034143737,S,Sporty
134,21,Female,185,84,73,98,103,39,52,98,0.029123784989105284,High,Traditional,Red,0.4054039608509241,0.378847464850555,L,Traditional
135,47,Female,164,72,87,112,80,57,58,84,0.7691077435072992,Low,Formal,White,0.337219909910226,0.8943830763718558,S,Formal
136,54,Female,192,91,118,114,90,59,78,98,0.9019095717488887,Low,Casual,Blue,0.014202156170764701,0.009860728337139468,XS,Casual
137,40,Male,197,83,88,71,134,52,70,73,0.44635457942992596,Low,Formal,Black,0.1534175794108874,0.6778686160577454,L,Formal
138,56,Female,172,114,112,108,100,54,67,87,0.5506904914706467,Low,Casual,Red,0.4211358562424995,0.4771600464115815,S,Casual
139,32,Female,155,117,121,76,83,46,60,108,0.9444636878820379,High,Formal,Black,0.06850279257189407,0.16104621496068006,S,Formal
140,46,Female,195,64,104,101,86,57,52,85,0.21227751528551442,Low,Formal,Black,0.5107393295062169,0.3210215262744667,L,Formal
141,53,Other,199,45,109,89,105,51,79,80,0.5201348477846849,Medium,Formal,Black,0.4550154384644478,0.22495004387703388,XS,Formal
142,30,Other,193,116,83,88,126,47,74,83,0.4747211271282129,Medium,Casual,Green,0.767168140344352,0.8778321678901223,L,Casual
143,49,Male,192,107,127,78,129,36,72,72,0.2583926478703701,Medium,Formal,Red,0.6598027014003166,0.48187338394499024,S,Formal
144,24,Male,194,111,102,105,91,59,51,107,0.8185932303731079,High,Traditional,Red,0.4459473053205738,0.5630942778724928,XS,Traditional
145,39,Other,170,48,83,70,110,47,58,87,0.8996005947632358,Low,Traditional,Black,0.22466070010507144,0.5936876193370206,XL,Traditional
146,45,Other,172,102,103,93,96,41,63,89,0.7819325797882088,High,Traditional,Blue,0.7268635660178063,0.6396171246023561,M,Traditional
147,19,Other,192,69,124,109,112,44,53,94,0.19535896084860838,Low,Casual,Black,0.7078621034542042,0.49555569037592995,L,Casual
148,59,Female,165,91,73,66,90,57,78,107,0.08674863550138157,High,Casual,Green,0.15329616051538741,0.01787353083631582,XXL,Casual
149,23,Female,196,82,93,103,107,40,58,82,0.6054444853053423,High,Traditional,White,0.9147518314254027,0.3347226869146519,S,Traditional
150,45,Other,164,59,128,117,111,37,62,73,0.057094760509883935,Low,Traditional,Green,0.06440511601504317,0.1838732407209912,XS,Traditional
151,45,Female,174,107,98,93,80,37,67,83,0.6728258885580842,High,Traditional,Blue,0.0550377088927162,0.6801428429116769,XS,Traditional
152,37,Female,185,65,88,118,126,52,64,102,0.5304242203272427,Low,Sporty,Black,0.187350417662427,0.056704651370046655,XL,Sporty
153,47,Male,160,101,75,79,107,45,77,97,0.6627857327436636,Medium,Traditional,Red,0.9094607980487712,0.5638033911116442,L,Traditional
154,28,Other,164,97,126,109,132,56,59,106,0.590170773649744,Medium,Formal,Black,0.5199981240369218,0.21063172227430094,XXL,Formal
155,45,Other,153,90,102,97,121,54,65,77,0.4227025695271728,Medium,Sporty,Blue,0.7879409206729001,0.9488458384670612,XS,Sporty
156,42,Female,170,58,118,83,86,39,61,103,0.20087718014022826,High,Sporty,Red,0.2278431880765006,0.3355409421865355,XL,Sporty
157,56,Other,162,61,109,69,81,53,69,74,0.30570213581048855,Medium,Casual,Green,0.49022197465374084,0.32522119137463423,S,Casual
158,50,Male,171,83,88,91,121,56,54,74,0.5245005742189764,Low,Formal,White,0.35828946362388225,0.9233846679907237,XL,Formal
159,18,Male,168,53,122,111,103,53,51,100,0.6518680936476059,Medium,Casual,White,0.8278286070661927,0.41734792030414136,L,Casual
160,44,Male,183,50,70,74,83,49,59,78,0.7794830168845285,Medium,Casual,Black,0.022604439359226625,0.9628623341857422,XL,Casual
161,30,Other,163,67,74,96,123,50,50,101,0.7671707184490608,High,Formal,Green,0.24384272996610534,0.024170352133503492,XS,Formal
162,58,Other,153,103,96,79,98,58,56,102,0.9726887432610853,Low,Casual,Blue,0.15257422430237877,0.3063445752021463,XS,Casual
163,20,Other,197,90,85,62,105,43,75,72,0.28584144866340944,High,Formal,White,0.8591890387215694,0.6661929602664312,M,Formal
164,56,Other,195,82,75,96,90,38,66,99,0.07111070821343679,High,Formal,Green,0.4675438496937657,0.8908569645276385,XL,Formal
165,23,Other,176,58,109,116,119,49,65,81,0.3456569355418593,Low,Casual,Black,0.4042200438932162,0.2564055930082839,S,Casual
166,25,Male,178,116,82,99,129,59,76,98,0.7432944752240767,High,Traditional,Red,0.44948276210107985,0.9304775919636682,XXL,Traditional
167,44,Female,196,106,117,67,122,46,76,72,0.4381116510332952,Low,Casual,Black,0.9719245507023352,0.5941214664991882,XXL,Casual
168,26,Male,177,79,104,99,90,57,73,95,0.8177884305894194,Medium,Sporty,Black,0.8502673943359241,0.801008243197916,L,Sporty
169,54,Other,184,63,88,103,124,37,52,99,0.549326365186015,Low,Casual,Green,0.7063687718503076,0.3972073043068972,M,Casual
170,50,Male,157,74,81,115,82,57,63,78,0.929791722630503,Low,Formal,White,0.2904789592232546,0.21218038256687333,XL,Formal
171,59,Other,165,69,85,82,91,48,59,95,0.9478634419990688,Low,Sporty,Green,0.16517299951844777,0.9112354154476932,S,Sporty
172,41,Other,191,84,128,99,82,51,71,71,0.06930450601874871,High,Formal,Red,0.9214336290244534,0.9331358684062186,M,Formal
173,32,Male,185,58,112,70,121,53,56,72,0.4564134397124243,Low,Traditional,Green,0.42307552279648286,0.4975751441541355,XS,Traditional
174,49,Other,179,70,79,105,106,40,75,73,0.609689061249568,Low,Traditional,Blue,0.27875579946862916,0.006495015999256504,L,Traditional
175,49,Female,167,66,94,67,128,38,66,94,0.2558725408122128,Low,Sporty,Black,0.47092082641763544,0.10978295367040447,XL,Sporty
176,41,Other,151,92,89,88,133,41,79,82,0.40707677937898024,Medium,Traditional,White,0.9178474228203521,0.5730279602317218,XXL,Traditional
177,58,Female,198,95,100,89,81,53,55,108,0.6776815411176983,Low,Traditional,Red,0.3870673133912932,0.02377670230188622,S,Traditional
178,29,Female,162,47,73,115,128,51,72,104,0.22673422689836142,High,Casual,Black,0.5626409972480995,0.3969119239866953,XS,Casual
179,56,Other,153,86,113,119,95,59,71,92,0.6019813529744524,Low,Casual,Green,0.8029663011085668,0.3033699455720126,M,Casual
180,19,Male,175,63,92,69,81,50,53,78,0.6974478281643061,Low,Traditional,Blue,0.4271325310483912,0.7143482754022047,L,Traditional
181,20,Female,174,117,71,98,139,49,66,71,0.09049631109586675,Medium,Traditional,Green,0.2335418019263683,0.05557867294793528,M,Traditional
182,54,Male,179,72,125,87,133,56,76,100,0.49752931602745276,Low,Casual,Black,0.9945257483830334,0.48873126897728747,XXL,Casual
183,34,Female,160,89,91,108,109,42,58,71,0.2630800299241908,High,Traditional,Red,0.9565708574521596,0.5791142698756053,M,Traditional
184,19,Other,156,115,120,95,99,53,53,101,0.7243863559980446,Low,Traditional,White,0.843479169125514,0.6172910760526177,S,Traditional
185,19,Other,180,107,126,72,117,42,56,87,0.18955550853694048,High,Formal,Black,0.6883738793859225,0.40515767201694086,XS,Formal
186,45,Female,193,117,106,91,107,52,72,82,0.8922379155381064,Medium,Traditional,Red,0.29486562806969696,0.30436778342955095,XL,Traditional
187,40,Other,159,63,77,95,104,50,51,74,0.4309413365183269,Low,Sporty,Black,0.913412938164032,0.6824930337371488,S,Sporty
188,54,Female,188,91,76,96,111,54,66,79,0.1980030303075535,Medium,Formal,Blue,0.27555667012122875,0.847569048102495,XXL,Formal
189,49,Other,162,58,83,85,89,53,73,94,0.43802179635032934,Low,Sporty,Green,0.8008094946768325,0.6936176377828788,L,Sporty
190,50,Male,180,82,125,81,139,44,57,103,0.40874376280852787,High,Traditional,White,0.9182581679413063,0.9321023654572216,XXL,Traditional
191,18,Other,156,97,124,63,121,51,72,106,0.4289189594937103,Medium,Casual,Red,0.6030038404299115,0.7172635253579271,XXL,Casual
192,36,Male,198,105,72,90,119,47,79,99,0.5855612934974469,Low,Formal,White,0.8030562178911789,0.7646187340136184,M,Formal
193,19,Other,191,80,119,77,112,47,64,76,0.5211737249135375,High,Casual,White,0.7916950992017466,0.16790319660208886,L,Casual
194,43,Male,191,84,85,97,92,41,64,75,0.14977713168090268,Medium,Formal,White,0.19315775112097988,0.4195396445267118,S,Formal
195,49,Other,185,74,124,83,135,44,57,72,0.06557907264663632,Low,Casual,Red,0.6679244735960846,0.4850553309559652,XXL,Casual
196,23,Male,169,53,88,115,120,36,65,82,0.7294154487265405,Medium,Formal,Red,0.09346793690444355,0.25629316229460763,S,Formal
197,49,Female,153,108,120,82,133,38,68,72,0.5597174359283135,Low,Formal,White,0.5078501431374813,0.5285398603562879,XL,Formal
198,21,Female,156,77,87,81,121,59,60,95,0.35900076807926373,High,Sporty,Green,0.1622355481405775,0.2907919442218475,M,Sporty
199,28,Male,150,96,121,61,126,40,51,93,0.8083578224980739,High,Casual,Black,0.4163494987964317,0.687502092804416,S,Casual
200,34,Other,193,58,85,90,116,58,72,75,0.38805847426095696,Medium,Sporty,White,0.8329820746984377,0.47028847670317586,L,Sporty
201,55,Male,194,119,77,114,133,52,73,81,0.7959650896006075,Medium,Sporty,Blue,0.9871678396302044,0.4588069542690356,XXL,Sporty
202,41,Other,191,97,129,70,95,57,66,105,0.3057561275123747,Low,Casual,White,0.3179598316596177,0.9836425310328117,XL,Casual
203,22,Female,196,103,102,87,124,40,77,71,0.07284529754519975,High,Formal,Red,0.5319556987831766,0.39244484854257045,L,Formal
